Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
31/05/2022;NFC-e 162052 - Armazem Coral - Terreno Graças;CONSTRUÇÃO MATERIAL;134,43;;;;;;;;
31/05/2022;NFC-e 22139 - Armazem Machado - Terreno Graças;CONSTRUÇÃO MATERIAL;49;;;;;;;;
31/05/2022;NF-e 69917 - Novo Nordeste - Material p/ Grades - ;CONSTRUÇÃO MATERIAL;13938;;;;;;;;
31/05/2022;Pago Fatura Compesa 04/2022 - Terreno Graças;COMPESA;101,23;;;;;;;;
31/05/2022;NFS-e 474 Andres Troncoso - PGRCC - Terreno Graças ;CONSTRUÇÃO MÃO DE OBRA;1100;;;;;;;;
31/05/2022;NFS-e 474 Andres Troncoso - licença construção - Te;CONSTRUÇÃO MÃO DE OBRA;650;;;;;;;;
31/05/2022;NFS-e 472 Andres Troncoso - ETA - Terreno Graças ;CONSTRUÇÃO MÃO DE OBRA;2100;;;;;;;;
31/05/2022;NFS-e 471 Andres Troncoso - Revitalização - Terreno;CONSTRUÇÃO MÃO DE OBRA;600;;;;;;;;
31/05/2022;Certidão de Demolição Graças 70 - Terreno Graças;TERRENO;218,82;;;;;;;;
31/05/2022;Certidão de Demolição Graças 52 - Terreno Graças;TERRENO;218,82;;;;;;;;
31/05/2022;DAM 7655381128 - Lizzie caroline Silva de Oliveira;TERRENO;451,42;;;;;;;;
30/06/2022;Custo José Galdino 06/2022;CONSTRUÇÃO MÃO DE OBRA;3683,77;;;;;;;;
30/06/2022;Pago Fatura Compesa 05/2022 - Terreno Graças ;COMPESA;101;;;;;;;;
29/07/2022;NF-e 209012 - Armazém Coral Ltda  - Material das G;CONSTRUÇÃO MATERIAL;160,92;;;;;;;;
29/07/2022;NFS-e 158 - Encar Construções e Locações Ltda;CONSTRUÇÃO MÃO DE OBRA;2736;;;;;;;;
29/07/2022;NFS-e 48 - L2P Projetos e Construções EIRELI - ME ;CONSTRUÇÃO MÃO DE OBRA;150000;;;;;;;;
29/07/2022;Pago Fatura Compesa  - Per. 07/2022 - IASD Graças;COMPESA;186,2;;;;;;;;
29/07/2022;Pago RRT Terreno Graças - Per. 07/2022;TERRENO;108,69;;;;;;;;
29/07/2022;4493 - Custo Func. José Galdino - Per.07/2022 - Pr;CONSTRUÇÃO MÃO DE OBRA;4002,39;;;;;;;;
30/08/2022;NFC-e 209083- Armazém Coral - Material IASD Graças;CONSTRUÇÃO MATERIAL;1509,75;;;;;;;;
30/08/2022;NFS-e 093 - ACF Lucas Engenharia - Prav. P/ IASD G;CONSTRUÇÃO MÃO DE OBRA;32816,2;;;;;;;;
30/08/2022;NFS-e 8889 - Cavalcanti Albuquerque Serviçod Ltda ;CONSTRUÇÃO MÃO DE OBRA;385;;;;;;;;
30/08/2022;NF-e 209234 Armazem Coral - Material P/ IASD Graça;CONSTRUÇÃO MATERIAL;354,9;;;;;;;;
30/08/2022;NF-e 208793 - Armazem Coral - Construção IASD Graç;CONSTRUÇÃO MATERIAL;1106,82;;;;;;;;
30/08/2022;NFS-e 457 - Fundações Especiais Nunes - Construção;CONSTRUÇÃO MÃO DE OBRA;47020;;;;;;;;
30/08/2022;Custo Func. José Galdino 08/2022 - Projeto Edifica;CONSTRUÇÃO MÃO DE OBRA;3371,4;;;;;;;;
30/08/2022;4411 - NF-e 209057 - Armazém Coral - Material IASD;CONSTRUÇÃO MATERIAL;2043;;;;;;;;
30/08/2022;4411 - Pago Compesa 08/2022 - IASD Graças;COMPESA;186,2;;;;;;;;
14/09/2022;Pago Compesa 08/2022 -  IASD Graças ;COMPESA;186,2;;;;;;;;
14/09/2022;NF-e 16641 - Stilo Refigeração - Gás Ar. Condicion;CONSTRUÇÃO MATERIAL;320;;;;;;;;
14/09/2022;NF-e 16637 - Stilo Refrigeração - Material P/ Inst;CONSTRUÇÃO MATERIAL;1725;;;;;;;;
30/09/2022;NFC -e 99443 Clima Rio - Ar Condicionado P/ Núcleo;CONSTRUÇÃO MATERIAL;12662,23;;;;;;;;
30/09/2022;NF-e 210342 - Armazém Coral - Material P/ Construç;CONSTRUÇÃO MATERIAL;879,48;;;;;;;;
30/09/2022;NF-e 212192 - Armazém coral - Material Obra IASD G;CONSTRUÇÃO MATERIAL;3039,12;;;;;;;;
30/09/2022;NF-e 212252 - Armazém coral - Material Obra IASD G;CONSTRUÇÃO MATERIAL;580,68;;;;;;;;
30/09/2022;NF-e 211930 - Armazém coral - Material Obra IASD G;CONSTRUÇÃO MATERIAL;145,3;;;;;;;;
30/09/2022;NF-e 21774 - Armazém coral - Material Obra IASD Gr;CONSTRUÇÃO MATERIAL;280,44;;;;;;;;
30/09/2022;NF-e 211671 - Armazém coral - Material Obra IASD G;CONSTRUÇÃO MATERIAL;1942,38;;;;;;;;
30/09/2022;Pago Fatura Celpe 09/2022 -  IASD Graças;NEOENERGIA;109,11;;;;;;;;
30/09/2022;NFC-e 67040 - Polo Parafusos - Material P/ Adecuaç;CONSTRUÇÃO MATERIAL;9,9;;;;;;;;
30/09/2022;NFC-e 56242 - Atacado dos Presentes - Material P/ ;CONSTRUÇÃO MATERIAL;214,38;;;;;;;;
30/09/2022;NFC-e 41623 - Maritel  - Material P/ Adecuação Gra;CONSTRUÇÃO MATERIAL;121,8;;;;;;;;
30/09/2022;NFS-e 40 Wellington - Compra Cadeiras IASD Graças ;CONSTRUÇÃO MÃO DE OBRA;3500;;;;;;;;
30/09/2022;NFS-e 65 L2p Projetos - Infraestrutura e Logística ;CONSTRUÇÃO MÃO DE OBRA;60000;;;;;;;;
30/09/2022;NFS-e 0261 Severino Bezerra - Infraestrutura Equipa;CONSTRUÇÃO MÃO DE OBRA;500;;;;;;;;
30/09/2022;NF-e 208910 - Armazém Coral - Mat. IASD Graças ;CONSTRUÇÃO MATERIAL;8787,69;;;;;;;;
30/09/2022;Custo Func. José Galdino  09/2022 - Projeto Edific;CONSTRUÇÃO MÃO DE OBRA;5724,87;;;;;;;;
20/10/2022;NFS-e 10 - Rui Alves - Acústica das Graças ;CONSTRUÇÃO MÃO DE OBRA;1750;;;;;;;;
31/10/2022;Out. Custo Func. José Galdino 10/2022 - Projeto Ed;CONSTRUÇÃO MÃO DE OBRA;3071,4;;;;;;;;
31/10/2022;NFS-e 171 Persianas Bella - Instalações de Portas ;CONSTRUÇÃO MÃO DE OBRA;2520;;;;;;;;
31/10/2022;Pago Fatura Compesa 09/2022 - Terreno Graçãs - CT.;COMPESA;186,2;;;;;;;;
31/10/2022;4493 - NF-e 212056 Armazém Coral - Material P/Cons;CONSTRUÇÃO MATERIAL;381,6;;;;;;;;
31/10/2022;NF-e 212480 - Armazém Coral - Material P/IASD Graç;CONSTRUÇÃO MATERIAL;2104,02;;;;;;;;
31/10/2022;NF-e 212644 Armazém Coral - Material P/IASD Graças;CONSTRUÇÃO MATERIAL;60,6;;;;;;;;
30/11/2022;4493 - Csto Func. Jose Galdino 11/2022 - Projeto E;CONSTRUÇÃO MÃO DE OBRA;3756,59;;;;;;;;
30/11/2022;Pagto Fatura Celpe 10/2022 - Consumo Energia P/ Co;NEOENERGIA;511,79;;;;;;;;
30/11/2022;NFS-e 528 - Andres Troncoso - Licença Ambiental IA;CONSTRUÇÃO MÃO DE OBRA;650;;;;;;;;
30/11/2022;NFS-e 529 - Andres Troncoso - PGRCC IASD Graças;CONSTRUÇÃO MÃO DE OBRA;1300;;;;;;;;
30/11/2022;NFS-e 1018 - Espress Locação - Construção IASD Gra;CONSTRUÇÃO MÃO DE OBRA;190;;;;;;;;
30/11/2022;Fatura 3673 - Express Locação - Construção IASD Gr;CONSTRUÇÃO MÃO DE OBRA;130;;;;;;;;
30/11/2022;Nota de Débito S/N - Express Locação - Construção ;CONSTRUÇÃO MÃO DE OBRA;130;;;;;;;;
30/11/2022;PagoTributo Competência 11/2022 - Construção IASD ;TERRENO;7331,4;;;;;;;;
30/11/2022;PagoTributo Competência 15/2021 - Construção IASD ;TERRENO;11150,17;;;;;;;;
30/11/2022;PagoTributo Competência 2019 - Construção IASD Gra;TERRENO;4057,15;;;;;;;;
30/11/2022;PagoTributo Competência 2018 - Construção IASD Gra;TERRENO;4275,47;;;;;;;;
30/11/2022;PagoTributo Competência 2017 - Construção IASD Gra;TERRENO;4484,78;;;;;;;;
30/11/2022;PagoTributo Competência 2022 - Construção IASD Gra;TERRENO;2718,66;;;;;;;;
30/11/2022;PagoTributo Competência 2022 - Construção IASD Gra;TERRENO;1360,28;;;;;;;;
30/11/2022;PagoTributo Competência 2021 - Construção IASD Gra;TERRENO;1468,08;;;;;;;;
30/11/2022;Pago Fatura Celpe 09/2022 - Cosumo de Energia - IA;NEOENERGIA;31,31;;;;;;;;
30/11/2022;Pago taxa TFUSP Corpo de Bombeiros - IASD Graças;TERRENO;21,69;;;;;;;;
30/11/2022;NF-e 212777 Armazem Coral - Material P/ IASD Graça;CONSTRUÇÃO MATERIAL;135;;;;;;;;
30/11/2022;Pago Fatura Compesa 10/2022 - Consumo Água - IASD ;COMPESA;186,2;;;;;;;;
30/11/2022;NFS-e 76 L2p Projetos - Obra IASD Graças;CONSTRUÇÃO MÃO DE OBRA;50000;;;;;;;;
30/11/2022;NF-e 213875 - Armazém Coral - Mat. IASD Graças;CONSTRUÇÃO MATERIAL;1747,53;;;;;;;;
30/11/2022;Fatura 5º  Projetha Construções - IASD Graças;CONSTRUÇÃO MATERIAL;5655;;;;;;;;
30/11/2022;NF-e 213743 - Armazém Coral - Mat. IASD Graças;CONSTRUÇÃO MATERIAL;3329,55;;;;;;;;
30/11/2022;Pago Multa Competência 10/2022 - IASD Graças Seq 2;TERRENO;5251,07;;;;;;;;
22/12/2022;NF-e 214662 - Armazém Coral - Material P/ IASD Gra;CONSTRUÇÃO MATERIAL;108,3;;;;;;;;
22/12/2022;Fatura Celpe Per. 11/2022 - Consumo de Energia - I;NEOENERGIA;1150,78;;;;;;;;
22/12/2022;Express Locação - Serviço Construção - IASD Graças;CONSTRUÇÃO MÃO DE OBRA;2250;;;;;;;;
